Data Import Template,,,,
Table:,Blog Category,,,
,,,,
,,,,
Notes:,,,,
Please do not change the template headings.,,,,
First data column must be blank.,,,,
"If you are uploading new records, leave the ""name"""" (ID) column blank.""",,,,
"If you are uploading new records, ""Naming Series"""" becomes mandatory"," if present.""",,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,
"For updating, you can update only selective columns.",,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,
,,,,
DocType:,Blog Category,,,
Column Labels:,ID,Category Name,Title,Published
Column Name:,name,category_name,title,published
Mandatory:,Yes,Yes,Yes,No
Type:,Data (text),Data,Data,Check
Info:,,,,
Start entering data below this line,,,,
,Announcements,Announcements,Announcements,1
,Book Reviews,Book Reviews,Book Reviews,1
,Development,Development,Development,1
,ERPNext Customer Stories,ERPNext Customer Story,ERPNext Customer Story,1
,ERPNext Features,ERPNext Features,ERPNext Features,1
,General,General,General,1
,Inside ERPNext,Inside ERPNext,Inside ERPNext,1
,Management,Management,Management,1
,Open Day,Open Day,Open Day,1
,Open Source,Open Source,Open Source,1
,Personal,Personal,Personal,1
,Startups,Startups,Startups,1
,Technology,Technology,Technology,1